name,item,introduction_text
川越,グルメ,芋けんぴ、団子を食べてリラックスしよう
川越,歴史,川越城へ行こう
川越,歴史,喜多院を満喫しよう
川越,歴史,時の鐘の街を満喫しよう
秩父,体験,西武特急Laviewに乗ってリラックスしよう
秩父,自然,羊山公園で芝桜を見よう
大宮,体験,盆栽博物館で日本の盆栽の歴史に触れよう
大宮,体験,鉄道博物館で君も鉄道ファンになろう
大宮,体験,造幣局博物館を見学しよう
大宮,ショッピング,エキュート大宮でお買い物をしよう
大宮,ショッピング,高島屋大宮店でお買い物をしよう
大宮,ショッピング,そごう大宮店でお買い物をしよう
大宮,ショッピング,大宮ルミネでお買い物
所沢,体験,航空公園で飛行機を見よう
所沢,体験,角川武蔵野ミュージアムに行こう
所沢,文化,埼玉西武ライオンズを応援しよう
所沢,体験,西武遊園地で遊ぼう
長瀞,体験,秩父鉄道SLパレオエクスプレスに乗ろう
長瀞,自然,長瀞ラインくだりを楽しもう
熊谷,文化,ようこそラグビーの街へ
春日部,体験,春日部駅の高架化工事を見よう
春日部,文化,クレヨンしんちゃんの故郷へ
浦和,体験,埼玉大学行こう。国立大学のキャンパスはどんな感じ？
浦和,グルメ,食べ歩きをしてリフレッシュしよう。鰻料理
浦和,文化,浦和レッズを君も応援しよう
浦和,ショッピング,浦和パルコでお買い物をしよう
浦和,ショッピング,伊勢丹でおいしいお惣菜を購入しよう
浦和,体験,ロイヤルパインズホテルでリラックスしよう
浦和,体験,埼玉県庁へ行こう
越生,自然,梅の季節に梅林を楽しもう
越谷,ショッピング,越谷レイクタウンでお買い物を楽しもう
久喜,体験,東武動物公園へ行こう
久喜,自然,久喜菖蒲公園で自然に触れよう
飯能,体験,ムーミンバレーパークへ行こう
吉見,歴史,吉見百穴へ行き、パワーをもらおう
行田,自然,ハスの名所で自然に触れよう
行田,歴史,関東平野の要塞、忍城へ行こう
深谷,歴史,深沢栄一ゆかりの地へ
羽生,体験,さいたま水族館で淡水魚、カワウソを見よう
東松山,自然,国営森林公園でアクティブに楽しもう
新座,体験,立教大学新座キャンパスへ行こう。キャンパスの雰囲気を知ろう
本庄,体験,早稲田大学本庄キャンパスへ行こう。紺碧の空、ここにあり
和光,体験,理化学研究所へ行こう。研究者のエリートたち
朝霞,体験,東武東上線に乗ろう。川越特急、ＴＪライナー
朝霞,体験,朝霞市の歴史を学ぼう。
